"","Date","Open","High","Low","Close","Volume","OI"
"134",2024-06-28 05:58:00,24441.25,24441.25,24438.3,24438.3,100,33850
"135",2024-06-28 05:59:00,24437.05,24437.05,24425,24425,750,33850
"136",2024-06-28 06:00:00,24429,24429,24416.1,24424,675,34100
"137",2024-06-28 06:01:00,24424,24435.55,24424,24427.55,600,34100
"138",2024-06-28 06:02:00,24427.55,24427.55,24427.55,24427.55,25,34100
"139",2024-06-28 06:03:00,24432.2,24433.85,24432.2,24433.85,50,34425
"140",2024-06-28 06:04:00,24433.85,24433.85,24433.85,24433.85,0,34425
"141",2024-06-28 06:05:00,24440.15,24440.2,24440.15,24440.2,50,34425
"142",2024-06-28 06:06:00,24448.85,24450,24446.25,24449.95,125,34450
"143",2024-06-28 06:07:00,24445,24445,24443.8,24443.8,225,34450
"144",2024-06-28 06:08:00,24440.2,24440.2,24440.2,24440.2,25,34450
"145",2024-06-28 06:09:00,24440,24442.05,24440,24440,100,34725
"146",2024-06-28 06:10:00,24440,24440,24440,24440,25,34725
"147",2024-06-28 06:11:00,24440,24441.75,24438.65,24441.75,100,34725
"148",2024-06-28 06:12:00,24440,24441.3,24438,24438,325,34700
"149",2024-06-28 06:13:00,24438,24438,24436.25,24436.9,75,34700
"150",2024-06-28 06:14:00,24440,24445.05,24440,24445.05,325,34700
"151",2024-06-28 06:15:00,24445.05,24445.05,24442.85,24442.85,125,35050
"152",2024-06-28 06:16:00,24440,24441.55,24440,24441.55,100,35050
"153",2024-06-28 06:17:00,24441.55,24441.55,24441.55,24441.55,0,35050
"154",2024-06-28 06:18:00,24441.55,24441.55,24438.3,24441.55,125,35250
"155",2024-06-28 06:19:00,24440.4,24440.4,24436.9,24439.7,75,35250
"156",2024-06-28 06:20:00,24435.1,24436,24432.85,24436,150,35250
"157",2024-06-28 06:21:00,24435.85,24436,24433.2,24436,75,35375
"158",2024-06-28 06:22:00,24435,24435.95,24435,24435.95,50,35375
"159",2024-06-28 06:23:00,24427.85,24428.05,24427.85,24428.05,200,35375
"160",2024-06-28 06:24:00,24428.1,24432.8,24428.1,24429.8,1225,35375
"161",2024-06-28 06:25:00,24429.8,24429.8,24429.8,24429.8,0,35375
"162",2024-06-28 06:26:00,24429.8,24429.8,24429.8,24429.8,0,35375
"163",2024-06-28 06:27:00,24433.25,24433.25,24425,24425,100,36550
"164",2024-06-28 06:28:00,24425,24425,24424.1,24424.1,225,36550
"165",2024-06-28 06:29:00,24425,24425,24420,24420,125,36550
"166",2024-06-28 06:30:00,24420,24420,24420,24420,25,36550
"167",2024-06-28 06:31:00,24425,24429.8,24425,24429.8,450,36900
"168",2024-06-28 06:32:00,24428.3,24428.3,24428.3,24428.3,50,36900
"169",2024-06-28 06:33:00,24428.3,24428.3,24428.3,24428.3,0,37250
"170",2024-06-28 06:34:00,24420,24426,24418,24426,125,37250
"171",2024-06-28 06:35:00,24424.55,24426,24424.55,24426,400,37250
"172",2024-06-28 06:36:00,24426,24433.4,24426,24431.25,275,37500
"173",2024-06-28 06:37:00,24431.25,24431.25,24429.6,24429.6,50,37500
"174",2024-06-28 06:38:00,24429.6,24429.6,24429.6,24429.6,0,37500
"175",2024-06-28 06:39:00,24425.05,24428,24425.05,24428,125,37475
"176",2024-06-28 06:40:00,24427.95,24427.95,24425,24425,75,37475
"177",2024-06-28 06:41:00,24424.6,24424.6,24419,24419,50,37475
"178",2024-06-28 06:42:00,24413.3,24413.3,24412.65,24412.65,150,37600
"179",2024-06-28 06:43:00,24412.65,24412.65,24410,24410,175,37600
"180",2024-06-28 06:44:00,24412.15,24412.15,24412.05,24412.05,75,37600
"181",2024-06-28 06:45:00,24412,24419,24410.7,24419,200,37900
"182",2024-06-28 06:46:00,24418.95,24418.95,24411.05,24411.05,175,37900
"183",2024-06-28 06:47:00,24411,24411,24391,24394.3,975,37900
"184",2024-06-28 06:48:00,24394,24394,24394,24394,25,37900
"185",2024-06-28 06:49:00,24405.45,24405.45,24405.45,24405.45,100,37900
"186",2024-06-28 06:50:00,24402.4,24402.4,24381.9,24381.9,375,37900
